state,age,rentOrOwn,employmentYear,nPaidOff,requestedAmount,income,payFreq,Product,leadProvider,loanStatus
IL,33,R,3,0,400,3000,B,AA,O,Active
MO,49,R,2,0,1000,4333,B,AA,AA,Active
IL,52,O,5,0,600,2500,W,AA,K,Active
OH,53,O,5,0,600,4100,B,AA,Q,Active
OH,49,R,5,1,400,2001,B,AA,Q,Active
MO,41,R,2,0,600,3000,B,AA,K,Active
TX,63,O,1,0,600,6000,B,AA,K,Active
OH,28,R,2,0,300,2031,B,AA,Q,Active
IL,42,O,2,0,900,4000,B,AA,N,Active
IL,38,O,3,0,300,3500,B,AA,Q,Active
OH,48,R,8,0,500,3600,B,AA,AA,Active
OH,39,R,2,0,500,4500,B,AA,J,Active
TX,53,O,8,0,950,5100,M,AA,W,Active
OH,50,R,6,1,1400,8000,B,AA,K,Active
OH,51,O,9,0,600,2500,W,AA,J,Default
OH,38,O,5,0,500,3000,B,AA,O,Active
IL,43,O,5,0,500,4000,B,AA,J,Active
OH,49,R,3,0,400,3000,B,AA,E,Active
MO,48,R,5,0,350,1376,W,AA,E,Active
IL,44,R,5,0,900,5001,W,AA,Q,Active
OH,46,R,5,1,500,2125,B,AA,AA,Active
SC,39,O,1,0,400,3000,M,AA,Q,Active
IL,55,O,5,0,800,5000,B,AA,K,Active
OH,62,R,4,0,400,2500,B,AA,AA,Active
IL,29,R,5,0,600,3000,I,AA,AA,Active
WI,36,R,6,0,1250,7000,B,AA,K,Active
OH,65,R,3,0,300,1500,B,AA,K,Active
WI,45,O,0,0,700,2500,B,AA,J,Active
OH,31,R,0,0,600,2350,B,AA,E,Active
IL,55,R,6,0,1000,3000,B,AA,J,Active
MO,30,R,2,0,300,2000,B,AA,AA,Active
TX,41,O,5,1,1000,4000,B,AA,AA,Active
TX,57,O,3,0,300,1375,W,AA,K,Active
MO,52,O,4,0,1000,5001,W,AA,J,Active
SC,53,O,5,1,500,3000,B,AA,AA,Default
OH,51,R,5,1,500,1250,B,AA,AA,Active
OH,37,O,3,1,300,2500,B,AA,K,Active
TX,38,O,1,0,400,2750,B,AA,J,Active
OH,64,O,12,0,1200,6250,W,AA,K,Active
IL,41,R,3,0,300,4560,B,AA,AA,Active
TX,40,O,6,0,800,4000,W,AA,K,Active
OH,41,R,10,0,500,2600,B,AA,J,Default
IL,52,O,5,0,500,5000,W,AA,K,Active
IL,39,O,0,0,700,5000,B,AA,AA,Active
OH,58,O,5,0,400,1800,B,AA,K,Active
WI,34,O,5,0,400,3333,W,AA,K,Active
IL,49,R,5,0,900,3001,B,AA,AA,Active
IL,31,O,5,0,900,5952,W,AA,J,Active
SC,55,O,6,0,1500,6500,B,AA,AA,Active
OH,42,R,10,0,500,2250,B,AA,K,Active
OH,42,R,3,0,700,2833,I,AA,K,Active
OH,54,O,12,1,600,5250,W,AA,K,Active
SC,30,R,0,0,500,2427,B,AA,Q,Active
WI,28,R,5,0,350,2000,B,AA,W,Default
WI,45,R,1,0,400,2750,B,AA,AA,Active
IL,51,O,5,0,1000,6000,I,AA,K,Active
OH,44,R,5,1,600,4167,B,AA,K,Active
OH,41,R,5,0,600,4500,B,AA,Q,Active
OH,55,R,5,0,2000,10833,B,AA,AA,Active
TX,35,R,2,0,300,2500,B,AA,AA,Active
TX,43,O,12,0,400,2500,B,AA,K,Active
IL,45,O,0,0,900,4166,B,AA,O,Active
TX,64,O,3,1,800,4000,B,AA,J,Active
OH,41,R,5,0,400,3000,B,AA,K,Active
OH,43,O,1,0,700,3000,I,AA,T,Active
TX,40,O,1,0,500,3100,B,AA,J,Active
MI,27,R,1,0,400,1800,B,AA,Q,Default
MO,51,O,6,0,600,7000,B,AA,K,Default
OH,35,R,5,0,500,2500,B,AA,T,Active
TX,42,O,5,0,500,3000,W,AA,K,Default
IL,27,R,2,0,500,5417,W,AA,Q,Active
OH,47,R,1,0,700,5000,W,AA,K,Active
OH,33,R,0,0,1500,3000,W,AA,W,Active
OH,47,O,9,0,500,3500,W,AA,K,Active
IL,56,O,5,0,500,3000,B,AA,K,Active
OH,48,O,1,0,700,5000,B,AA,N,Active
